"target_id"	"pval"	"qval"
"KDM3A"	1.61406929761273e-06	0.000519121236173248
"MT-ATP8"	1.71136357056066e-06	0.000519121236173248
"MTHFD1"	1.76669155655547e-06	0.000519121236173248
"UGCG"	1.63876665115169e-06	0.000519121236173248
"ZNF841"	1.7246981692901e-06	0.000519121236173248
"C17orf107"	2.12463026594771e-06	0.000540958280294363
"DERA"	1.94383680714896e-06	0.000540958280294363
"FAM219A"	2.12342287009871e-06	0.000540958280294363
"MACC1"	1.99731399347595e-06	0.000540958280294363
"POFUT2"	2.05187408866415e-06	0.000540958280294363
"PPARD"	1.98061162878441e-06	0.000540958280294363
"SSH3"	2.01349926049122e-06	0.000540958280294363
"TMEM255B"	2.05666540818044e-06	0.000540958280294363
"ANKFY1"	2.28862431744809e-06	0.000545691722085758
"CYP24A1"	2.28318134122205e-06	0.000545691722085758
"FAM13A"	2.28464587908195e-06	0.000545691722085758
"GBP4"	2.30368209155471e-06	0.000545691722085758
"PGM3"	2.31606140756023e-06	0.000545691722085758
"PIM1"	2.40238267183839e-06	0.000557706071435896
"P4HA1"	2.50986200175451e-06	0.000574212776227488
"CCN5"	2.54931966584285e-06	0.000574908003499931
"ENO2"	2.70513648457879e-06	0.000601454711909307
"TRAK2"	2.74816266384483e-06	0.000602534664047979
"GOLGA2"	2.80718378324079e-06	0.000607043879482728
"ABCA13"	3.01052681081956e-06	0.000611230960299439
"KDELR2"	3.02014537586192e-06	0.000611230960299439
"SEC23IP"	2.9241337429183e-06	0.000611230960299439
"TMEM140"	2.94017461371259e-06	0.000611230960299439
"UBXN8"	2.96554391002617e-06	0.000611230960299439
"TAF9B"	3.17254423428042e-06	0.000633946623827224
"ALDH4A1"	3.27649341794402e-06	0.000646534063695803
"RNF213"	3.3324292924837e-06	0.000649453442112934
"ALDH16A1"	3.41698518503412e-06	0.000649885881095767
"ZMIZ2"	3.41108545726005e-06	0.000649885881095767
"CLVS2"	3.52589705586629e-06	0.000654821304987121
"FAM210B"	3.52060635032823e-06	0.000654821304987121
"CROT"	3.71678601398477e-06	0.000679784687494852
"MAT2A"	3.74643784442241e-06	0.000679784687494852
"MAP7D2"	3.8348561093646e-06	0.000687920892527609
"PHACTR2"	3.87926041448734e-06	0.000688067470821316
"RPF2"	4.01396625834411e-06	0.000704049681713557
"TNFRSF10D"	4.1354356636741e-06	0.000717384476777574
"LRRN1"	4.35640913309971e-06	0.000728821025163309
"PIGR"	4.36204790901852e-06	0.000728821025163309
"PROSER2"	4.3063354280102e-06	0.000728821025163309
"SRP68"	4.38603809644713e-06	0.000728821025163309
"ZMAT3"	4.63271154443615e-06	0.000761791504588219
"EID1"	5.01365132775485e-06	0.000768402911261535
"GBE1"	4.99405189242714e-06	0.000768402911261535
"MTCP1"	4.86835204991142e-06	0.000768402911261535
"SNN"	4.97959103769326e-06	0.000768402911261535
"SRPRA"	4.91198304762533e-06	0.000768402911261535
"TTC3"	4.96204621270369e-06	0.000768402911261535
"ZNFX1"	4.72270734085013e-06	0.000768402911261535
"ATG2B"	5.11837845124286e-06	0.000770833212191915
"RDH13"	5.150350482202e-06	0.000770833212191915
"YIF1A"	5.17599901763227e-06	0.000770833212191915
"ARF4"	5.30783155141114e-06	0.000774708181007838
"BICDL2"	5.34737311838667e-06	0.000774708181007838
"NICN1"	5.39863623833517e-06	0.000774708181007838
"PARD3B"	5.39129772501049e-06	0.000774708181007838
"SRPRB"	5.44739693981186e-06	0.000774708181007838
"ANKRD37"	5.79735252808513e-06	0.000809885017773025
"CFAP53"	5.78937533006103e-06	0.000809885017773025
"BNIP3L"	6.00472864657296e-06	0.000814838203702444
"DEF6"	5.93730922995117e-06	0.000814838203702444
"SEC22B"	6.03927973097592e-06	0.000814838203702444
"SEC61G"	6.03287837918174e-06	0.000814838203702444
"BPIFB1"	6.10248721549101e-06	0.000816388671048653
"ANOS1"	6.40878858504212e-06	0.000832173899438971
"ERBB2"	6.43134522561475e-06	0.000832173899438971
"PLAUR"	6.4171439942469e-06	0.000832173899438971
"SLC35E1"	6.41493353423007e-06	0.000832173899438971
"ADAP1"	6.88912877441469e-06	0.000837060850624728
"CABLES1"	6.832495116395e-06	0.000837060850624728
"CALU"	6.6576904010661e-06	0.000837060850624728
"DONSON"	6.91226781653061e-06	0.000837060850624728
"EXOSC1"	6.82230088672159e-06	0.000837060850624728
"GALNT3"	6.96111270600246e-06	0.000837060850624728
"GGT6"	6.98875707026972e-06	0.000837060850624728
"RPS19"	6.60071624058488e-06	0.000837060850624728
"TAPBPL"	6.99936857230863e-06	0.000837060850624728
"TPBG"	6.87060614097907e-06	0.000837060850624728
"MCCC1"	7.30494089080339e-06	0.000860565648524047
"NAPG"	7.26971807334936e-06	0.000860565648524047
"PARP2"	7.50221802810966e-06	0.000877259361420289
"CUL7"	7.77406492441506e-06	0.00089628870900286
"STRIP1"	7.77850963723501e-06	0.00089628870900286
"GOLGA4"	7.88015751724647e-06	0.000901421496864151
"DDX47"	8.04349356932605e-06	0.000903883873876257
"OLFM4"	8.07345915472902e-06	0.000903883873876257
"PDPR"	8.01595665370704e-06	0.000903883873876257
"ACAD8"	1.17768454680242e-05	0.000907536297570351
"ACBD3"	1.15618679073617e-05	0.000907536297570351
"ADGRG6"	1.02777723188945e-05	0.000907536297570351
"ALKBH5"	1.12972314598023e-05	0.000907536297570351
"ANTXR2"	1.16886547409307e-05	0.000907536297570351
"ANXA11"	8.53921377187135e-06	0.000907536297570351
"ATG2A"	1.11503140265383e-05	0.000907536297570351
"ATOH8"	1.15492606174817e-05	0.000907536297570351
"BCAS1"	9.77439170491159e-06	0.000907536297570351
"BNIP1"	1.01310516948901e-05	0.000907536297570351
"COPB1"	1.09904960548487e-05	0.000907536297570351
"COPZ1"	8.76774777044512e-06	0.000907536297570351
"CREB3"	1.07706341799064e-05	0.000907536297570351
"CRLF1"	8.40343304479395e-06	0.000907536297570351
"CUX1"	9.93915550132505e-06	0.000907536297570351
"DAD1"	1.15925334376039e-05	0.000907536297570351
"DNAJB2"	1.01022639293795e-05	0.000907536297570351
"DUSP14"	8.96483462445546e-06	0.000907536297570351
"EDN2"	1.125235304011e-05	0.000907536297570351
"EFNA3"	1.08693357667919e-05	0.000907536297570351
"ENPP4"	1.17362771969409e-05	0.000907536297570351
"EPHB6"	8.60421355966392e-06	0.000907536297570351
"FBXO16"	1.00151215153511e-05	0.000907536297570351
"FCHO1"	8.76347417458033e-06	0.000907536297570351
"FSTL3"	1.01539935818791e-05	0.000907536297570351
"GNL3"	8.90231067819954e-06	0.000907536297570351
"GOLGA5"	8.80369574397806e-06	0.000907536297570351
"HSPA2"	1.13543568593208e-05	0.000907536297570351
"JMJD6"	1.0946991834998e-05	0.000907536297570351
"KAT14"	9.13698756164957e-06	0.000907536297570351
"KLHDC7A"	1.13555304258184e-05	0.000907536297570351
"LAGE3"	9.95111598717279e-06	0.000907536297570351
"LONP1"	9.73265896717041e-06	0.000907536297570351
"MALT1"	1.06822281827823e-05	0.000907536297570351
"MBD1"	9.40725778931863e-06	0.000907536297570351
"MED10"	1.08403794776435e-05	0.000907536297570351
"MTMR10"	1.11424667123438e-05	0.000907536297570351
"MT-ND1"	9.58342622596496e-06	0.000907536297570351
"NFIL3"	9.99415797858587e-06	0.000907536297570351
"PAICS"	9.06032320760179e-06	0.000907536297570351
"PDXDC1"	1.08132901725419e-05	0.000907536297570351
"PJA2"	1.05709749467357e-05	0.000907536297570351
"PLCD3"	1.0267942945874e-05	0.000907536297570351
"PPFIBP2"	8.35455259858663e-06	0.000907536297570351
"PTP4A1"	8.60293509888059e-06	0.000907536297570351
"RPS27L"	8.56111828014598e-06	0.000907536297570351
"S100A6"	1.17854390600483e-05	0.000907536297570351
"SEC24A"	1.08608576858576e-05	0.000907536297570351
"SEMA3E"	1.13288486023467e-05	0.000907536297570351
"SLC6A8"	1.0614418616925e-05	0.000907536297570351
"SNRNP27"	1.03832687412359e-05	0.000907536297570351
"SPEN"	1.14656956285321e-05	0.000907536297570351
"SPIRE2"	9.28728998771151e-06	0.000907536297570351
"SRSF1"	1.04409117266909e-05	0.000907536297570351
"TBL2"	1.07735307013949e-05	0.000907536297570351
"TMEM214"	1.03883709887641e-05	0.000907536297570351
"TNFSF10"	1.13061970610941e-05	0.000907536297570351
"TOMM6"	9.06578712045972e-06	0.000907536297570351
"TRIM26"	9.26993902619514e-06	0.000907536297570351
"TTL"	1.16047908005634e-05	0.000907536297570351
"WDR45B"	1.11854963815776e-05	0.000907536297570351
"WDR48"	9.5956421641579e-06	0.000907536297570351
"WWC1"	1.09639142251465e-05	0.000907536297570351
"XDH"	9.88032255643355e-06	0.000907536297570351
"ANKFN1"	1.20095705730562e-05	0.000908715055152228
"ARRB1"	1.1877246333006e-05	0.000908715055152228
"DUSP2"	1.19583116187482e-05	0.000908715055152228
"TENT5A"	1.20310051011539e-05	0.000908715055152228
"HECW2"	1.2167056616303e-05	0.000914615027356947
"PKD2"	1.2362198482535e-05	0.000924879930072503
"ARNT2"	1.33924313383494e-05	0.000938665032926254
"BHLHE40"	1.33695477137262e-05	0.000938665032926254
"CDH24"	1.33582052333927e-05	0.000938665032926254
"CHCHD2"	1.34824244267864e-05	0.000938665032926254
"COBLL1"	1.34648442084133e-05	0.000938665032926254
"DGKD"	1.30252030111273e-05	0.000938665032926254
"GPX2"	1.28429396591879e-05	0.000938665032926254
"HILPDA"	1.26288910752006e-05	0.000938665032926254
"PCNT"	1.29222101405952e-05	0.000938665032926254
"PKHD1"	1.33209628219464e-05	0.000938665032926254
"PLPP3"	1.27907454037788e-05	0.000938665032926254
"PPP1R10"	1.34978438156759e-05	0.000938665032926254
"PRRC1"	1.32752048779148e-05	0.000938665032926254
"SOHLH2"	1.26850278274458e-05	0.000938665032926254
"WWC2"	1.32751276426362e-05	0.000938665032926254
"YLPM1"	1.29972961154161e-05	0.000938665032926254
"TRIM62"	1.35911104977231e-05	0.000941005571566038
"NKPD1"	1.39110671961101e-05	0.00095895243125674
"RCAN2"	1.40922337369422e-05	0.000967217399005956
"ANAPC11"	1.43286818333952e-05	0.000974648780288328
"CCDC9"	1.42678202872513e-05	0.000974648780288328
