"genes"	"hypoxia.01"	"hypoxia.02"	"hypoxia.03"	"hypoxia.04"	"normoxia.01"	"normoxia.02"	"normoxia.03"	"normoxia.04"	"hypoxia_avg"	"normoxia_avg"	"log2FC"	"pval"	"qval"	"pi"
"KRAS"	26.22	25.42	25.32	24.19	28.64	21.4	20.81	24.21	25.29	23.77	0.09	0.132294930049092	0.178000534822258	0.0674620823523086
"KRBA1"	6.68	6.26	8.45	7.72	9.74	9.02	12.56	8.31	7.28	9.91	-0.4	0.00627428069285592	0.0250554706708004	-0.640438973822979
"KRBA2"	1.91	1.01	2.24	1.49	1.78	1.99	4.08	3.57	1.66	2.86	-0.54	0.0314636261153079	0.0646388341822295	-0.642333501923073
"KRBOX1"	2.85	4.95	5.4	3.4	2.34	3.43	5.57	4.9	4.15	4.06	0.03	0.298995079039909	0.346722714884596	0.0138005311628358
"KRBOX4"	14.16	13.87	14.14	11.8	13.25	11.5	16.6	12.92	13.49	13.57	-0.01	0.0707581297934198	0.110870344004757	-0.00955184604955028
"KRBOX5"	16.81	18.56	15.84	18.28	18.33	13.53	16.24	15.41	17.37	15.88	0.12	0.0651928060745395	0.104576124041528	0.11766809504244
"KRCC1"	28.96	26.78	17.37	24.64	33.56	34.21	46.62	43.56	24.44	39.49	-0.67	0.00455531423914366	0.0205106076951289	-1.13097438625285
"KREMEN1"	9.86	8.2	8.39	10.95	9.79	7.13	8.01	8.5	9.35	8.36	0.15	0.144067685298128	0.190250332952673	0.108101186176211
"KREMEN2"	0.65	0.55	0.36	0.39	0.54	0.27	0.15	0.18	0.49	0.29	0.21	0.0328320972906735	0.0663867615968598	0.247362888379635
"KRI1"	14.34	14.91	21.17	18.46	14.36	16.71	16.52	13.54	17.22	15.28	0.16	0.0626184727810734	0.101655204784248	0.158859260866859
"KRIT1"	12.95	16.26	14.11	14.73	15.28	17.16	19.07	16.22	14.51	16.93	-0.21	0.0180231452785115	0.0465183799610468	-0.279798837848276
"KRR1"	20.36	21.41	27.38	25.53	22.63	24.19	23.8	22.01	23.67	23.16	0.03	0.0395560205648495	0.0744434120930751	0.0338452118795508
"KRT1"	0	0.01	0	0	0	0	0	0	0	0	0.01	1	1	0
"KRT10"	29.74	44.49	64.18	47.78	16.47	25.5	24.06	18.61	46.55	21.16	1.1	0.000362038526948195	0.00407389276108896	2.62898944804576
"KRT12"	0.29	0.18	0.82	0.37	0.06	0.33	0.55	0.02	0.41	0.24	0.19	0.233693522180814	0.28167411935148	0.10454808041614
"KRT13"	134.79	375.42	459.36	938.18	87.97	1340.15	529.23	621.46	476.94	644.7	-0.43	1	1	0
"KRT14"	5.65	1.07	0.53	2.39	5.97	0.81	0.47	2.01	2.41	2.31	0.04	1	1	0
"KRT15"	23.45	31.93	37.16	45.3	22.96	79.63	64.08	52.99	34.46	54.92	-0.66	0.0877781036029778	0.13025617065958	-0.584233117772844
"KRT16"	113.87	69.9	37.52	36.82	126.87	202.71	95.74	77.12	64.53	125.61	-0.95	0.00292211846564604	0.0152440720749135	-1.72605405619771
"KRT17"	4010.41	2077.44	2714.23	2459.48	2429.02	1615.33	2222.79	1974.66	2815.39	2060.45	0.45	0.0525542531271244	0.0896694163277978	0.471310045705038
"KRT18"	1022.52	1008.43	853.16	952.23	1108.5	1704.34	1059.17	1263.72	959.09	1283.93	-0.42	0.0367154372763159	0.0710455862765288	-0.482354416968288
"KRT19"	4911.52	4964.82	4106.51	5918.94	4036.04	5163.78	5684.72	4985.54	4975.45	4967.52	0	0.0662946165505929	0.105836990139283	0
"KRT2"	0.01	0	0	0	0.08	0	0	0	0	0.02	-0.02	1	1	0
"KRT20"	0	0.02	0.02	0.03	0.02	0.02	0	0	0.02	0.01	0.01	1	1	0
"KRT222"	0.07	0.15	0.11	0.12	0.17	0.03	0.03	0	0.11	0.06	0.07	1	1	0
"KRT23"	32.9	7.85	4.85	2.29	107.3	5.92	2.53	1.55	11.97	29.33	-1.23	1	1	0
"KRT24"	0.16	0.25	0.04	0.07	0	0	0.02	0	0.13	0.01	0.17	1	1	0
"KRT25"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRT26"	0.08	0.03	0	0	0.03	0	0	0	0.03	0.01	0.03	1	1	0
"KRT27"	0.02	0	0	0	0	0	0.03	0.03	0.01	0.01	-0.01	1	1	0
"KRT28"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRT3"	0.02	0	0	0	0	0	0	0	0	0	0.01	1	1	0
"KRT31"	0.31	0.05	0.08	0	0.28	0.08	0.03	0.08	0.11	0.12	-0.01	1	1	0
"KRT32"	0	0	0	0.02	0	0	0	0	0.01	0	0.01	1	1	0
"KRT33A"	0.22	0.25	0.07	0.2	0.03	0.18	0.04	0	0.18	0.06	0.15	0.0263938681793284	0.0581714377273353	0.18529353034945
"KRT33B"	0	0	0.03	0	0	0	0	0.03	0.01	0.01	0	1	1	0
"KRT34"	0.12	0.19	0.11	0.18	0.03	0	0	0.05	0.15	0.02	0.17	1	1	0
"KRT35"	0	0	0	0	0.05	0	0	0	0	0.01	-0.02	1	1	0
"KRT36"	0.07	0.11	0.05	0.17	0	0.05	0.11	0.03	0.1	0.05	0.07	1	1	0
"KRT37"	0.13	0	0	0	0.12	0.08	0	0.03	0.03	0.05	-0.03	1	1	0
"KRT38"	0	0	0	0	0.01	0	0	0	0	0	-0.01	1	1	0
"KRT39"	0	0	0.08	0	0.1	0	0.14	0.05	0.02	0.07	-0.07	1	1	0
"KRT4"	6.49	8.94	2.37	2.1	27.13	53.39	69.38	30.37	4.97	45.07	-2.95	8.96149687468506e-05	0.00194588981655816	-7.99710117643325
"KRT40"	0.06	0.06	0.07	0	0.18	0.38	0.23	0.02	0.05	0.2	-0.2	1	1	0
"KRT5"	468.23	265.34	222.94	137.59	285.59	50.08	58.97	45.32	273.52	109.99	1.31	0.00118671674732694	0.00851136327728444	2.71170114333238
"KRT6A"	114.29	41.07	26.87	17.87	47.74	6.1	4.22	3.5	50.02	15.39	1.64	0.000479203794330776	0.0048182873231246	3.80005598152138
"KRT6B"	3.93	1.42	0.42	0.45	7.56	0.89	0.66	0.49	1.56	2.4	-0.41	1	1	0
"KRT6C"	0.3	0.03	0.17	0.05	0.05	0.02	0.02	0.02	0.14	0.03	0.15	1	1	0
"KRT7"	5596.81	6305.04	4852.23	7188.1	5202.22	7582.01	7739.7	6662.03	5985.54	6796.49	-0.18	0.031796980843325	0.0650611976140931	-0.213602030406766
"KRT71"	0.02	0.02	0	0	0	0	0	0	0.01	0	0.01	1	1	0
"KRT72"	0	0	0	0	0.02	0	0.03	0	0	0.01	-0.02	1	1	0
"KRT73"	0	0	0	0	0	0	0	0.12	0	0.03	-0.04	1	1	0
"KRT74"	0	0	0.01	0	0.03	0.01	0.02	0.04	0	0.02	-0.03	1	1	0
"KRT75"	0	0	0	0	0.02	0	0	0	0	0	-0.01	1	1	0
"KRT76"	0	0.01	0	0	0	0	0	0	0	0	0	1	1	0
"KRT77"	0	0.03	0	0.04	0.08	0.02	0	0	0.02	0.03	-0.01	1	1	0
"KRT78"	0.22	0.17	0.04	0.04	0.6	0.01	0	0.21	0.12	0.21	-0.11	1	1	0
"KRT79"	0.17	0.08	0	0	0.17	0.02	0	0	0.06	0.05	0.02	1	1	0
"KRT8"	1669.2	1532	1352.69	1470.68	1744.61	2212.68	1384.34	1755.46	1506.14	1774.27	-0.24	0.10620560855004	0.150526282687281	-0.197373039199045
"KRT80"	25.33	47.68	57.74	55.59	16.6	71.68	21.82	29.98	46.59	35.02	0.4	0.282088898129603	0.330320847553884	0.192425606318899
"KRT81"	5.28	2.44	1.85	3.98	2.4	0.81	1.67	0.62	3.39	1.38	0.88	0.0105287087434595	0.0341706817895255	1.29038479316286
"KRT82"	0	0	0	0	0.04	0.02	0	0	0	0.01	-0.02	1	1	0
"KRT83"	0.57	0.59	0.9	1.23	0.24	0.55	1.21	0.47	0.82	0.62	0.17	0.154430636960823	0.201075720477033	0.118428862304391
"KRT84"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRT85"	0.01	0	0	0	0	0	0	0.03	0	0.01	-0.01	1	1	0
"KRT86"	6.29	6.45	5.14	9.3	6.02	7.73	16.94	8.38	6.8	9.77	-0.47	0.163527945966189	0.210681634864841	-0.317895460506739
"KRT9"	0.08	0.06	0.06	0.1	0.05	0.06	0.17	0.09	0.07	0.09	-0.02	1	1	0
"KRTAP1-1"	0.1	0	0	0.26	0	0	0	0.06	0.09	0.01	0.1	1	1	0
"KRTAP1-3"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP1-4"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP1-5"	0.04	0	0	0.04	0	0	0	0	0.02	0	0.03	1	1	0
"KRTAP10-1"	0	0	0.04	0	0	0	0	0	0.01	0	0.01	1	1	0
"KRTAP10-10"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP10-11"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP10-12"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP10-2"	0.11	0	0	0	0.08	0	0	0	0.03	0.02	0.01	1	1	0
"KRTAP10-3"	0	0	0	0	0	0.05	0	0	0	0.01	-0.02	1	1	0
"KRTAP10-4"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP10-5"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP10-6"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP10-7"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP10-8"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP10-9"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP11-1"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP12-1"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP12-2"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP12-3"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP12-4"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP13-1"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP13-2"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP13-3"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP13-4"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP15-1"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP16-1"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP17-1"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP19-1"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP19-2"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP19-3"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP19-4"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP19-5"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP19-6"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP19-7"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP19-8"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP2-1"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP2-2"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP2-3"	1.27	1.37	0.73	0.34	1.53	0.13	0.07	0.06	0.93	0.45	0.41	0.00582629911001645	0.0239141032994285	0.664751818634186
"KRTAP2-4"	0	0.15	0	0	0	0	0	0	0.04	0	0.05	1	1	0
"KRTAP20-1"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP20-2"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP20-3"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP20-4"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP21-1"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP21-2"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP21-3"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP22-1"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP22-2"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP23-1"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP24-1"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP25-1"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP26-1"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP27-1"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP29-1"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP3-1"	0	0	0.22	0	0	0	0	0	0.06	0	0.08	1	1	0
"KRTAP3-2"	0	0.07	0	0	0	0.09	0.09	0	0.02	0.05	-0.04	1	1	0
"KRTAP3-3"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP4-1"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP4-11"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP4-12"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP4-16"	1.09	0.37	1.61	1.04	1.07	1.63	2.2	1.14	1.03	1.51	-0.31	0.14850001064406	0.194945627278763	-0.220126815556231
"KRTAP4-2"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP4-3"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP4-4"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP4-5"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP4-6"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP4-7"	0	0	0	0	0	0	0.11	0	0	0.03	-0.04	1	1	0
"KRTAP4-8"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP4-9"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP5-1"	2.23	0.96	2.33	0.67	0.58	0.58	0.31	0.56	1.55	0.51	0.76	0.00587843495035519	0.0240468966380687	1.23039513215507
"KRTAP5-10"	0	0.11	0	0	0.15	0	0.32	0.37	0.03	0.21	-0.24	1	1	0
"KRTAP5-11"	0	0	0	0	0	0.1	0	0	0	0.03	-0.04	1	1	0
"KRTAP5-2"	2.56	2.49	1.28	0.86	2.68	2.45	2.02	1.63	1.8	2.2	-0.19	0.0764020380041565	0.117448882260553	-0.176728711273834
"KRTAP5-3"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP5-4"	0.11	0	0.12	0.04	0	0	0	0.08	0.07	0.02	0.07	1	1	0
"KRTAP5-5"	0.07	0.18	0.08	0.5	0.16	0.09	0.05	0.21	0.21	0.13	0.1	1	1	0
"KRTAP5-6"	0	0.46	0	0	0	0	0	0	0.12	0	0.16	1	1	0
"KRTAP5-7"	0	0	0.06	0	0	0.07	0.11	0.03	0.02	0.05	-0.05	1	1	0
"KRTAP5-8"	0	0	0.08	0	0.04	0.17	0.04	0.04	0.02	0.07	-0.07	1	1	0
"KRTAP5-9"	0	0.03	0.04	0.04	0.57	0.13	0.18	0.28	0.03	0.29	-0.32	1	1	0
"KRTAP6-1"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP6-2"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP6-3"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP7-1"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP8-1"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP9-1"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP9-2"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP9-3"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP9-4"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP9-6"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP9-7"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP9-8"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTAP9-9"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"KRTCAP2"	290.94	294.42	285.7	231.82	239.96	297	240.94	246.39	275.72	256.07	0.11	0.0768310872540405	0.117890313315735	0.102137406588809
"KRTCAP3"	107.41	126.41	100.8	121.63	73.33	96.07	96.28	87.33	114.06	88.25	0.37	0.00598164816419883	0.0243356275588946	0.597090256439888
"KRTDAP"	0.93	0.83	0.93	0.47	1.2	0.26	0.55	0	0.79	0.5	0.25	1	1	0
"KSR1"	1.45	1.9	1.8	2.29	1.64	2.17	2.09	2.57	1.86	2.12	-0.12	0.144568651642304	0.190800161761174	-0.086330551372211
"KSR2"	0.25	0.29	0.4	0.37	0.36	0.86	1.08	0.98	0.33	0.82	-0.46	0.000210298632335897	0.00298898145123529	-1.16125931882751
"KTI12"	7.69	8.91	9.64	11.55	8.14	9.54	9.67	8.84	9.45	9.05	0.06	0.0486154348583825	0.0851295900914504	0.0641951674667618
"KTN1"	158.22	151.13	160.04	207.18	169.99	240.86	238.3	229.78	169.14	219.73	-0.38	0.0037087953778372	0.0179047719023259	-0.663871858776783
"KXD1"	113.88	126.52	115.36	107.35	110.45	117.31	129.7	106.29	115.78	115.94	0	0.0314208622643483	0.0645852057118387	0
"KY"	0.07	0.18	0.19	0.19	0.02	0.07	0.11	0.03	0.16	0.06	0.13	1	1	0
"KYAT1"	9.35	5.46	13.02	10.77	6	2.68	5.55	2.92	9.65	4.29	1.01	0.00759271418706521	0.0281358183467163	1.5662478531037
"KYAT3"	19.68	38.33	32.32	32.57	30.34	52.18	50.77	47.9	30.73	45.3	-0.55	0.0156701093620888	0.0430355508681164	-0.751394948458838
"KYNU"	38.83	33.72	12.85	20.94	72.22	35.06	18.41	30.26	26.59	38.99	-0.54	0.230002748704949	0.277883314790779	-0.300314265763582
"L1CAM"	4.11	3.67	1.27	2.45	7.04	22.95	19.76	10.03	2.88	14.95	-2.04	0.000966919893218727	0.00747966157120466	-4.33728082610652
"L1TD1"	0.08	0.09	0.02	0.06	0.01	0.03	0.06	0.06	0.06	0.04	0.03	0.274498340133004	0.322653075006671	0.0147379257463602
"L2HGDH"	10.41	9.67	13.45	11.28	10.65	9.87	13.26	10.02	11.2	10.95	0.03	0.0709602628682258	0.11110679524279	0.0286277813696138
"L3HYPDH"	7.9	11.54	9.74	12.75	7.72	11.8	14.24	13.23	10.48	11.75	-0.15	0.0787201923683746	0.120020101345921	-0.138111901627212
"L3MBTL1"	3.56	2.87	4.26	4.3	3.98	3.22	4.77	3.71	3.75	3.92	-0.05	0.102923406527017	0.146929724673131	-0.0416445167606497
"L3MBTL2"	15.9	16.41	19.45	17.09	15.77	16.7	19.6	16.27	17.21	17.08	0.01	0.030246324659785	0.0631990047755614	0.0119928976070314
"L3MBTL3"	14.36	12.94	15.82	16.51	16.13	14.45	13.35	14.84	14.91	14.69	0.02	0.0803025501707455	0.12173783318884	0.018291488650396
"L3MBTL4"	0.87	0.27	0.68	0.49	2.44	0.75	1	1.45	0.58	1.41	-0.61	0.0201421972255528	0.0495967439405048	-0.795773568921704
"LACC1"	14.17	10.68	12.47	11.41	11.83	7.28	9.89	13.11	12.18	10.53	0.19	0.314626042900683	0.362452507715842	0.0837422893145738
"LACRT"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"LACTB"	23.63	22.13	28.73	23.97	24.06	22.35	16.93	20.63	24.61	21	0.22	0.111182567771769	0.155942071510008	0.177548074215001
"LACTB2"	87.43	123.35	125.9	121.18	76.85	94.31	131.9	72.64	114.46	93.93	0.28	0.12920915288718	0.174750356598645	0.212122940218682
"LACTBL1"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"LAD1"	64.13	41.36	31.9	44.2	48.02	35.61	34.96	43.96	45.4	40.64	0.16	1	1	0
"LAG3"	0	0	0	0.05	0	0	0	0	0.01	0	0.02	1	1	0
"LAGE3"	23.38	23.07	25.41	27.61	13.41	12.83	12.99	10.17	24.86	12.35	0.95	9.95111598717279e-06	0.000907536297570351	2.89002919622156
"LAIR1"	0.13	0.11	0.22	0.25	0.27	0.19	0.2	0.12	0.18	0.19	-0.02	0.209829599581699	0.258053136412956	-0.0117658171617537
"LAIR2"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"LALBA"	0	0	0	0	0	0	0	0	0	0	0	1	1	0
"LAMA1"	0.52	0.46	0.17	0.52	1.48	0.78	0.3	0.93	0.42	0.87	-0.4	0.117814463083476	0.163013361992155	-0.315110718234442
"LAMA2"	1.17	1.15	0.62	1.54	0.66	1.72	0.08	0.44	1.12	0.73	0.29	0.211949699039858	0.259891094379618	0.169710494608946
"LAMA3"	176.77	138.72	68.54	70.93	211.66	55.22	72.39	57.92	113.74	99.3	0.19	0.420820802795986	0.468515212140309	0.062562497667661
"LAMA4"	5.71	4.8	2.75	2.67	6.11	2.78	3.47	2.27	3.98	3.66	0.1	0.123270341196251	0.168787024557553	0.0772660942660897
"LAMA5"	45.31	39.82	44.1	45.76	49.33	51.97	75.23	44.7	43.75	55.31	-0.33	0.0443865397265197	0.0800875432761276	-0.361823559347095
"LAMB1"	40.5	35.35	20.17	31.1	58.33	17.14	20.74	18.74	31.78	28.74	0.14	0.529188162912274	0.577595543091554	0.0333726633209174
"LAMB2"	61.57	49.21	74.35	86.21	54.66	69.95	85.07	74.69	67.84	71.09	-0.07	0.219704235511431	0.2673437957129	-0.0401050923128182
"LAMB3"	433.17	524.64	449.05	454.15	386.33	282.55	340.17	236.67	465.25	311.43	0.58	0.000698686882759387	0.00605538002936798	1.28635798556083
"LAMB4"	0.04	0.03	0.05	0	0.11	0.11	0	0.03	0.03	0.07	-0.05	1	1	0
"LAMC1"	69.24	93.27	87.84	116.46	72.54	93.79	90.59	71.03	91.7	81.99	0.16	0.426274718614196	0.473952155799669	0.0518824795164249
"LAMC2"	469.35	428.14	174.84	146.15	608.39	146.51	168.75	155.16	304.62	269.7	0.18	0.588479136144507	0.637418117413009	0.0352036074027148
"LAMC3"	0.08	0.08	0.04	0.01	0.06	0.08	0.1	0.03	0.05	0.07	-0.02	0.24816211398284	0.296240708661004	-0.0105671052409387
"LAMP1"	157.65	195.79	165.79	193.18	166.88	239.17	201.86	230.72	178.1	209.66	-0.23	0.0794374243360062	0.120785896799094	-0.211136267523168
"LAMP2"	76.79	88.65	83.66	91.12	81.25	106.63	96.54	87.79	85.06	93.05	-0.13	0.031301640764199	0.0644486371597294	-0.154802214042822
"LAMP3"	5.85	7.63	6.48	10.83	6.05	1.06	1.46	2.76	7.7	2.83	1.18	0.0106105858879528	0.0343375786853676	1.72779179220161
"LAMP5"	0	0	0	0	0	0.02	0	0	0	0.01	-0.01	1	1	0
"LAMTOR1"	92.74	105.18	93.75	113.97	91.45	123.56	118.8	112.52	101.41	111.58	-0.14	0.0598849670549201	0.0982992710750721	-0.141042958365095
"LAMTOR2"	152.16	146.48	146.2	163.04	143.51	125.77	131.31	139.03	151.97	134.91	0.17	0.0159959315394997	0.0435234070732439	0.231417109515834
"LAMTOR3"	40.84	41.66	42.13	40.9	40.39	45.13	39.17	41.88	41.38	41.64	-0.01	0.0248749483819834	0.0562304907803995	-0.012500281259466
"LAMTOR4"	123.58	145.31	142.35	149.55	123.6	161.41	153.36	134.4	140.19	143.19	-0.03	0.0577105718996216	0.0957757661908564	-0.0305623309513317
"LAMTOR5"	469.06	574.84	556.04	470.84	384.39	416.63	389.83	358.59	517.7	387.36	0.42	0.000679751030087873	0.00593503858460573	0.935162110379478
"LANCL1"	40.25	44.51	39.3	41.65	45	33.58	39.05	34.62	41.43	38.06	0.12	0.039027216175628	0.0738178330395955	0.135820644946899
"LANCL2"	4.9	4.84	2.83	4.79	6.78	6.42	5.6	7.31	4.34	6.53	-0.49	0.0156411889494396	0.043010327116898	-0.669549354650087
"LANCL3"	0.24	0.16	0.5	0.37	0.13	0.31	0.29	0.62	0.32	0.34	-0.02	1	1	0
"LAP3"	54.8	54.75	54.72	50.38	85.03	59.4	113.23	98.35	53.67	89	-0.72	0.00253688966286187	0.0138724220080577	-1.3376503498663
"LAPTM4A"	597.18	580.85	637.07	530.57	592.9	621.76	718.16	684.81	586.42	654.41	-0.16	0.0104183592110219	0.0339101481454003	-0.235147250062097
"LAPTM4B"	71.36	59.96	76.63	61.61	63.22	58.24	68.94	44.38	67.39	58.69	0.2	0.0723086436281277	0.112681564492954	0.189629426362918
"LAPTM5"	0.3	0.05	0.36	0.13	0.52	0.02	0.11	0.17	0.21	0.21	0	1	1	0
"LARGE1"	5.99	4.87	6.93	7.66	8.38	10.58	10.54	12.06	6.36	10.39	-0.63	5.71708716096217e-05	0.00160302638337574	-1.76088737774912
"LARGE2"	1.11	0.3	1.58	0.41	4.8	0.42	1.08	0.96	0.85	1.81	-0.61	0.410820769069738	0.458481206117701	-0.206593861855779
"LARP1"	56.17	68.01	70.96	69.42	66.02	67.5	69.65	70.81	66.14	68.49	-0.05	0.0263050794156968	0.0580203973251627	-0.0618209650731734
"LARP1B"	18.73	27.86	29.31	25.11	13.77	12	11.42	11.45	25.25	12.16	1	4.69967740834605e-05	0.00149091103084888	2.82654827201598
"LARP4"	30.02	32.57	43.56	34.68	35.25	30.7	29.16	26.97	35.21	30.52	0.2	0.0762931928083883	0.117315833009275	0.186128674261409
"LARP4B"	57.95	55.54	58.14	61.66	53.92	49.89	50.22	46.97	58.32	50.25	0.21	0.0065790393270029	0.0257965014446269	0.333572229822421
"LARP6"	22.93	22.24	23.5	22.26	19.86	18.52	16.87	25.26	22.73	20.13	0.17	0.0703592564567856	0.110472570362723	0.162646741996241
"LARP7"	48.66	46.21	49.88	53.21	45.78	46.95	55.53	50.17	49.49	49.61	0	0.0157790338632954	0.0431919244955751	0
"LARS1"	48.79	45.01	58.32	55.2	47.14	54.87	58.61	57.55	51.83	54.54	-0.07	0.0130828815957737	0.0388426497782366	-0.0987483805655696
"LARS2"	10.39	10.63	10.61	10.43	12.57	13.2	13.19	13.01	10.51	12.99	-0.28	0.00327698960912905	0.0164416949541737	-0.499534955808692
"LAS1L"	23.12	25.44	32.1	32.78	21.91	20.46	28.32	25.21	28.36	23.97	0.23	0.00974003020773294	0.0326238312877726	0.341886958622363
"LASP1"	164.37	166.57	134.96	158.87	172.37	184.93	170.18	199.82	156.2	181.83	-0.22	0.0457085151501893	0.0816607763876061	-0.239357028977097
"LASP1NB"	1.22	1.31	1.73	1.51	1.12	1.34	2.77	2.47	1.44	1.92	-0.26	0.0706650110365075	0.110831382436394	-0.248387684904583
"LAT"	1.47	2.16	2.97	2.34	1.64	3.11	3.02	2.37	2.23	2.54	-0.13	0.134083325055334	0.179932156824639	-0.0968358578431587
"LAT2"	1.13	1.07	1.65	1.2	1.45	1.98	1.17	1.22	1.26	1.45	-0.12	0.14988440772572	0.196354793390724	-0.0848350190780412
"LATS1"	14.1	13.74	16.93	16.74	14.45	15.05	18.09	16.13	15.38	15.93	-0.05	0.0208459918043535	0.0506892832137283	-0.0647541924999105
"LATS2"	17.96	15.58	15.4	15.39	15.23	13.41	12.16	11.98	16.08	13.2	0.27	0.00343180704797456	0.0169879291499926	0.477862080916496
"LAX1"	0.36	0.26	0.53	0.61	0.36	0.71	0.63	0.56	0.44	0.57	-0.12	0.104985437953973	0.149198786779026	-0.0991481650016046
"LAYN"	30.05	24.22	11.28	16.44	39.75	5	5.6	6.79	20.5	14.28	0.49	0.0885676880983042	0.131205848753738	0.432202934457245
