"genes"	"hypoxia.01"	"hypoxia.02"	"hypoxia.03"	"hypoxia.04"	"normoxia.01"	"normoxia.02"	"normoxia.03"	"normoxia.04"	"hypoxia_avg"	"normoxia_avg"	"log2FC"	"pval"	"qval"	"pi"
"C17orf98"	0	0.29	0	0.36	0.21	0.12	0.49	0.11	0.16	0.23	-0.08	1	1	0
"C17orf99"	0.36	0.16	0.05	0	0.12	0.19	0.14	0.05	0.14	0.13	0.02	1	1	0
"C18orf21"	20.88	24.56	27.18	28.24	23.91	20.04	22.04	21.05	25.22	21.76	0.2	0.0329369977080653	0.0665246516375855	0.235403478198668
"C18orf25"	20.77	18.74	24.2	21.97	18.69	17.09	16.42	19.74	21.42	17.98	0.24	0.0171273887904598	0.0451934862201143	0.322781797428543
"C18orf32"	67.54	85.7	66.17	78.53	70.74	79.14	60.3	49.41	74.48	64.9	0.2	0.205731586566187	0.253883585485759	0.119073075393119
"C18orf54"	2.53	2.39	2.93	3.35	2.48	0.78	0.81	1.28	2.8	1.34	0.7	0.00908972172104079	0.0313024317382962	1.05309534599701
"C18orf63"	0	0.01	0	0	0	0	0	0	0	0	0	1	1	0
"C19orf12"	16.71	17.83	14.98	19.91	15.54	24.42	24.42	26.68	17.36	22.77	-0.37	0.0280918762493476	0.0604496126597875	-0.450884396713162
"C19orf18"	2.89	2.15	1.36	1.97	3.4	2.59	1.28	1.76	2.09	2.26	-0.07	0.2100317709965	0.258242989514539	-0.0411580021564905
"C19orf25"	23.94	24.93	28.26	35.27	27.4	29.25	28.31	27.77	28.1	28.18	0	0.0620953898139646	0.100992975850324	0
"C19orf33"	1051.68	1086.78	806.59	1051.77	644.49	932.06	1079.96	1038.22	999.2	923.68	0.11	0.589163071106672	0.638027594188785	0.021467659177781
"C19orf38"	5.47	5.35	5.78	4.64	4.3	1.36	1.84	1	5.31	2.13	1.01	0.000696500213449451	0.00604782858609077	2.24058453182834
"C19orf44"	4.04	3.15	5	5.32	4.7	3.25	6	5.92	4.38	4.97	-0.15	0.139515263991717	0.185339388822119	-0.109804841017258
"C19orf47"	8.9	9.23	13.04	8.32	8.41	8.48	8.33	7.86	9.87	8.27	0.23	0.073956907461111	0.114515325275243	0.216461369466008
"C19orf53"	175.53	155.71	170.49	181.96	139.37	108.77	116.07	110.17	170.92	118.59	0.52	0.000252123620489774	0.00326344089040039	1.29288860954533
"C19orf67"	0.36	0.41	0.25	0.48	0.32	0.41	0.17	0.24	0.37	0.29	0.09	0.219836041503345	0.267462948067192	0.0515462735486121
"C19orf73"	1.01	0.83	1.88	0.97	1.22	2.42	2.39	2.68	1.17	2.18	-0.55	0.031774189372999	0.065048288606168	-0.652720268784121
"C19orf81"	2.69	2.73	6.24	2.61	0.8	0.56	0.09	0.23	3.57	0.42	1.68	0.000295865594107261	0.00361004356114603	4.10337909673699
"C19orf84"	0	0.06	0	0	0	0	0	0	0.01	0	0.02	1	1	0
"C19orf85"	0	0.06	0	0	0	0.07	0	0.03	0.01	0.03	-0.02	1	1	0
"C1D"	51.83	55.04	60.38	43.25	55.98	51.99	49.31	37.94	52.63	48.81	0.11	0.0507520964799084	0.0877102338740252	0.116264470406713
"C1GALT1"	37.63	50.97	39.52	35.84	35.18	45.51	33.89	31.17	40.99	36.44	0.17	0.312099902263333	0.359883787956828	0.075452411890374
"C1GALT1C1"	34.03	38.78	37.58	41.15	38.96	56.44	53.14	57.18	37.89	51.43	-0.43	0.0011132778964651	0.00811741564600375	-0.898950352772393
"C1GALT1C1L"	1.1	1.01	1	1.92	0.31	0.98	0.85	1.4	1.26	0.89	0.26	0.0746009273410889	0.115275082126706	0.243948785521794
"C1orf100"	0	0.11	0.54	0.8	0.2	0.13	0.41	0.17	0.36	0.23	0.15	1	1	0
"C1orf105"	0.19	0.46	0	0.35	0.79	0	0	1.75	0.25	0.64	-0.39	1	1	0
"C1orf109"	16.83	17.12	19.59	16.92	16.18	15.51	17.74	15.45	17.62	16.22	0.11	0.0365322533527949	0.0708465985178655	0.126464909585686
"C1orf112"	3.3	4.12	5.91	4.57	3.27	3.04	3.7	3.53	4.48	3.38	0.32	0.0309052514292657	0.0639923985807811	0.382038915577584
